isin,market_cap,name
US00287Y1091,Large cap,ABBVIE
US02079K3059,Large cap,ALPHABET A
US0231351067,Large cap,AMAZON COM
US0378331005,Large cap,APPLE
US0404132054,Large cap,ARISTA NETWORKS
US0556221044,Large cap,BP (ADR)
US11135F1012,Large cap,BROADCOM INC
US2473617023,Large cap,DELTA AIR LINES
US25278X1090,Large cap,DIAMONDBACK ENERGY
US5324571083,Large cap,ELI LILLY & CO
CH1335392721,Mid cap,GALDERMA GROUP AG
US30303M1027,Large cap,META PLATFORMS A
US5949181045,Large cap,MICROSOFT
US6541061031,Large cap,NIKE INC B
US6701002056,Large cap,NOVO NORDISK (SADR) B
US67066G1040,Large cap,NVIDIA CORP
US68989M2026,Small cap,OUSTER
US75886F1075,Large cap,REGENERON PHARMACEUTICALS
US5949724083,Mid cap,STRATEGY
US8740391003,Large cap,TAIWAN SEMICONDUCTOR(SADR
US88160R1014,Large cap,TESLA
US33737A1088,Mid cap,1ST NASDAQ GRID INFRA ETF
US37954Y8306,Mid cap,GLOBAL X COPPER MINER ETF
US81369Y5069,Large cap,STAT ST ENRGY SLSEC ETF
US92189F6768,Large cap,VANECK SEMICOND ETF
US92204A3068,Large cap,VANGUARD ENERGY ETF SHS
US92204A6038,Large cap,VANGUARD INDUST IDX FD
US92204A7028,Large cap,VANGUARD INFO TECH ETF
US92204A4058,Large cap,VANGUARD WORLD FINANCIALS
US33741X1028,Small/mid cap,FIRST TRUST SMID CAP ETF
US4642872349,Large cap,ISHARES MSCI EM MKTS IDX
US9229083632,Large cap,VANGUARD 500 IDX ETF
US9229086601,Large cap,VANGUARD GROWTH INDX FUND
US9219464065,Large cap,VANGUARD HIGH DIV YLD ETF
US9229087690,All cap,VANGUARD MO T/STK MKT ETF
US9229085959,Small cap,VANGUARD MORN S/CAP GWTH
US9229086114,Small cap,VANGUARD S/CAP VAL ETF
US9219097683,All cap,VANGUARD TOTAL STK ETF
