isin,sector,name
US00287Y1091,Health care,ABBVIE
US02079K3059,Communication services,ALPHABET A
US0231351067,Consumer discretionary,AMAZON COM
US0378331005,Information technology,APPLE
US0404132054,Information technology,ARISTA NETWORKS
US0556221044,Energy,BP (ADR)
US11135F1012,Information technology,BROADCOM INC
US2473617023,Industrials,DELTA AIR LINES
US25278X1090,Energy,DIAMONDBACK ENERGY
US5324571083,Health care,ELI LILLY & CO
CH1335392721,Health care,GALDERMA GROUP AG
US30303M1027,Communication services,META PLATFORMS A
US5949181045,Information technology,MICROSOFT
US6541061031,Consumer discretionary,NIKE INC B
US6701002056,Health care,NOVO NORDISK (SADR) B
US67066G1040,Information technology,NVIDIA CORP
US68989M2026,Information technology,OUSTER
US75886F1075,Health care,REGENERON PHARMACEUTICALS
US5949724083,Information technology,STRATEGY
US8740391003,Information technology,TAIWAN SEMICONDUCTOR(SADR
US88160R1014,Consumer discretionary,TESLA
US33737A1088,Industrials,1ST NASDAQ GRID INFRA ETF
US37954Y8306,Materials,GLOBAL X COPPER MINER ETF
US81369Y5069,Energy,STAT ST ENRGY SLSEC ETF
US92189F6768,Information technology,VANECK SEMICOND ETF
US92204A3068,Energy,VANGUARD ENERGY ETF SHS
US92204A6038,Industrials,VANGUARD INDUST IDX FD
US92204A7028,Information technology,VANGUARD INFO TECH ETF
US92204A4058,Financials,VANGUARD WORLD FINANCIALS
US33741X1028,Broad index,FIRST TRUST SMID CAP ETF
US4642872349,Broad index,ISHARES MSCI EM MKTS IDX
US9229083632,Broad index,VANGUARD 500 IDX ETF
US9229086601,Broad index,VANGUARD GROWTH INDX FUND
US9219464065,Broad index,VANGUARD HIGH DIV YLD ETF
US9229087690,Broad index,VANGUARD MO T/STK MKT ETF
US9229085959,Broad index,VANGUARD MORN S/CAP GWTH
US9229086114,Broad index,VANGUARD S/CAP VAL ETF
US9219097683,Broad index,VANGUARD TOTAL STK ETF
