isin,style,name
US00287Y1091,Value,ABBVIE
US02079K3059,Growth,ALPHABET A
US0231351067,Growth,AMAZON COM
US0378331005,Growth,APPLE
US0404132054,Growth,ARISTA NETWORKS
US0556221044,Value,BP (ADR)
US11135F1012,Growth,BROADCOM INC
US2473617023,Value,DELTA AIR LINES
US25278X1090,Value,DIAMONDBACK ENERGY
US5324571083,Growth,ELI LILLY & CO
CH1335392721,Growth,GALDERMA GROUP AG
US30303M1027,Growth,META PLATFORMS A
US5949181045,Growth,MICROSOFT
US6541061031,Value,NIKE INC B
US6701002056,Growth,NOVO NORDISK (SADR) B
US67066G1040,Growth,NVIDIA CORP
US68989M2026,Growth,OUSTER
US75886F1075,Blend,REGENERON PHARMACEUTICALS
US5949724083,Growth,STRATEGY
US8740391003,Growth,TAIWAN SEMICONDUCTOR(SADR
US88160R1014,Growth,TESLA
US33737A1088,Blend,1ST NASDAQ GRID INFRA ETF
US37954Y8306,Value,GLOBAL X COPPER MINER ETF
US81369Y5069,Value,STAT ST ENRGY SLSEC ETF
US92189F6768,Growth,VANECK SEMICOND ETF
US92204A3068,Value,VANGUARD ENERGY ETF SHS
US92204A6038,Blend,VANGUARD INDUST IDX FD
US92204A7028,Growth,VANGUARD INFO TECH ETF
US92204A4058,Value,VANGUARD WORLD FINANCIALS
US33741X1028,Value,FIRST TRUST SMID CAP ETF
US4642872349,Blend,ISHARES MSCI EM MKTS IDX
US9229083632,Blend,VANGUARD 500 IDX ETF
US9229086601,Growth,VANGUARD GROWTH INDX FUND
US9219464065,Value,VANGUARD HIGH DIV YLD ETF
US9229087690,Blend,VANGUARD MO T/STK MKT ETF
US9229085959,Growth,VANGUARD MORN S/CAP GWTH
US9229086114,Value,VANGUARD S/CAP VAL ETF
US9219097683,Blend,VANGUARD TOTAL STK ETF
