isin,vehicle,name
US00287Y1091,Direct line,ABBVIE
US02079K3059,Direct line,ALPHABET A
US0231351067,Direct line,AMAZON COM
US0378331005,Direct line,APPLE
US0404132054,Direct line,ARISTA NETWORKS
US0556221044,Direct line,BP (ADR)
US11135F1012,Direct line,BROADCOM INC
US2473617023,Direct line,DELTA AIR LINES
US25278X1090,Direct line,DIAMONDBACK ENERGY
US5324571083,Direct line,ELI LILLY & CO
CH1335392721,Direct line,GALDERMA GROUP AG
US30303M1027,Direct line,META PLATFORMS A
US5949181045,Direct line,MICROSOFT
US6541061031,Direct line,NIKE INC B
US6701002056,Direct line,NOVO NORDISK (SADR) B
US67066G1040,Direct line,NVIDIA CORP
US68989M2026,Direct line,OUSTER
US75886F1075,Direct line,REGENERON PHARMACEUTICALS
US5949724083,Direct line,STRATEGY
US8740391003,Direct line,TAIWAN SEMICONDUCTOR(SADR
US88160R1014,Direct line,TESLA
US33737A1088,Fund,1ST NASDAQ GRID INFRA ETF
US37954Y8306,Fund,GLOBAL X COPPER MINER ETF
US81369Y5069,Fund,STAT ST ENRGY SLSEC ETF
US92189F6768,Fund,VANECK SEMICOND ETF
US92204A3068,Fund,VANGUARD ENERGY ETF SHS
US92204A6038,Fund,VANGUARD INDUST IDX FD
US92204A7028,Fund,VANGUARD INFO TECH ETF
US92204A4058,Fund,VANGUARD WORLD FINANCIALS
US33741X1028,Fund,FIRST TRUST SMID CAP ETF
US4642872349,Fund,ISHARES MSCI EM MKTS IDX
US9229083632,Fund,VANGUARD 500 IDX ETF
US9229086601,Fund,VANGUARD GROWTH INDX FUND
US9219464065,Fund,VANGUARD HIGH DIV YLD ETF
US9229087690,Fund,VANGUARD MO T/STK MKT ETF
US9229085959,Fund,VANGUARD MORN S/CAP GWTH
US9229086114,Fund,VANGUARD S/CAP VAL ETF
US9219097683,Fund,VANGUARD TOTAL STK ETF
